lat [deg],lon [deg],priority,duration [s]
-48.3388,43.3114,0.159,3600
13.8009,73.4687,0.798,3600
58.8065,-103.3329,0.508,3600
-43.1899,-130.9063,0.572,3600
2.1996,-174.7639,0.497,3600
45.2848,-53.7885,0.461,3600
28.8922,32.3704,0.604,3600
23.6419,-38.7921,0.24,3600
24.2981,-22.509,0.264,3600
-16.8611,145.4971,0.876,3600
-24.769,-54.628,0.952,3600
37.1233,5.0362,0.436,3600
37.2136,102.1151,0.344,3600
44.0487,-37.2446,0.68,3600
49.5889,43.9512,0.468,3600
1.3611,130.4509,0.123,3600
0.182,161.8274,0.241,3600
35.7954,-127.0535,0.744,3600
17.9957,153.5715,0.693,3600
24.236,-2.8381,0.124,3600
35.4951,-87.032,0.3,3600
46.8006,-14.7111,0.308,3600
-19.4406,172.8117,0.705,3600
-14.93,-2.6575,0.118,3600
-48.7222,-61.6494,0.194,3600
9.3936,48.0243,0.82,3600
-55.6869,-93.5476,0.261,3600
-4.1282,-152.6892,0.687,3600
5.1174,-133.6033,0.314,3600
-25.615,-133.9035,0.189,3600
10.9,-125.315,0.319,3600
-56.34,-130.0222,0.75,3600
-55.5182,50.7149,0.87,3600
38.7121,-114.5232,0.847,3600
-16.7771,-55.5598,0.457,3600
-44.7527,142.8438,0.701,3600
2.6692,-9.3738,0.284,3600
32.3992,60.3208,0.364,3600
-34.1015,-117.9648,0.907,3600
14.7469,-110.776,0.112,3600
-49.7583,-165.2873,0.177,3600
